provinsi,jenis,daerah,tahun,periode,cluster,pca1,pca2
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,0,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,2,1.0,1,0,-17.16585758611165,2.073232457704079
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,0,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,0,1.0,1,0,-17.16585758611165,2.0732324577040755
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,0,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,0,1,1.0,1,0,-17.16585758611165,2.0732324577040773
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,0,0,-17.16585758611165,0.6712791413537751
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,2,1.0,1,0,-17.16585758611165,0.6712791413537753
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,0,0,-17.16585758611165,0.6712791413537719
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,0,1.0,1,0,-17.16585758611165,0.671279141353772
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,0,0,-17.16585758611165,0.6712791413537734
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,1,1,1.0,1,0,-17.16585758611165,0.6712791413537735
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,0,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,2,0.0,1,0,-17.16585758611165,-3.0207561360919772
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,0,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,0,0.0,1,0,-17.16585758611165,-3.0207561360919803
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,0,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,1,0.0,1,0,-17.16585758611165,-3.020756136091979
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,0,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,2,1.0,1,0,-17.16585758611165,-0.730674174996529
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,0,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,0,1.0,1,0,-17.16585758611165,-0.7306741749965323
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,0,0,-17.16585758611165,-0.7306741749965308
0,2,1,1.0,1,0,-17.16585758611165,-0.7306741749965305
0,2,1,1.0,1,0,-17.16585758611165,-0.7306741749965305
0,2,1,1.0,1,0,-17.16585758611165,-0.7306741749965305
0,2,1,1.0,1,0,-17.16585758611165,-0.7306741749965305
0,2,1,1.0,1,0,-17.16585758611165,-0.7306741749965305
